,details,price,adresse,img_link
0,Appartement à louer à Ngor-Almadies, 700000  ,Ngor,https://www.dakarvente.com/media/annonces/pics/b85c5d55112e0be55c42489ef78e86bf.jpg
1,Studio meublé à louer, 650000  ,Ngor,https://www.dakarvente.com/media/annonces/pics/b5f0e4ea17e04b16a6ee1a582381f389.jpg
2,Studio à louer , 175000  ,Ngor,https://www.dakarvente.com/media/annonces/pics/63308c1d1a8183209999d85e362dba3c.jpg
3,STUDIO MEUBLÉ À LOUER CITÉ MAGISTRAT, 30000  ,Sicap,https://www.dakarvente.com/media/annonces/pics/5b8ad9b650ff2bd982ccc3cee1142e42.jpeg
4,APPARTEMENT À LOUER AUX ALMADIES, 1000000  ,Almadies,https://www.dakarvente.com/media/annonces/pics/ae1e82e38749e97ae9ecd618ef62fdf1.jpeg
5,Studio f2 à louer à yoff , 180000  ,Yoff,https://www.dakarvente.com/media/annonces/pics/804c69682a421ab5c0aa7f14ad8258f1.jpg
6,Studio à louer , 175000  ,Ngor,https://www.dakarvente.com/img/nophoto.png
7,Studio à louer , 150000  ,Ouest,https://www.dakarvente.com/media/annonces/pics/16cbaa6bf91b51c8cc26907a41905d26.jpeg
8,Studio à louer , 150000  ,Ouest,https://www.dakarvente.com/media/annonces/pics/c5aca268ed42b1d213dacd06d014d041.jpeg
9,APPARTEMENT F4 À LOUER MAMELLES , 450000  ,Mamelles,https://www.dakarvente.com/media/annonces/pics/b9ea5c86051b65b26d51b50dca10a6c7.jpeg
10,Studio séparé à louer , 160000  ,Ouest,https://www.dakarvente.com/media/annonces/pics/10970107eede4a97d13f3046ae310422.jpeg
11,Studio séparé à louer , 160000  ,Ouest,https://www.dakarvente.com/media/annonces/pics/112c216c3eb7e95c35540034b2dab6ce.jpeg
12,Appartement F3 à louer sur la corniche , 325000  ,Mamelles,https://www.dakarvente.com/media/annonces/pics/bec8cb07501f4a45d0bb449413b633a0.jpg
13,Appartement F3 à louer à ouakam monument , 225000  ,Ouakam,https://www.dakarvente.com/media/annonces/pics/555873faa40f5f35af551fa7c60cd1a8.jpg
14,Studio à louer , 150000  ,Ouest,https://www.dakarvente.com/media/annonces/pics/1503c04cbb1a42ea07a7fa975bf8955e.jpeg
15,APPARTEMENT F4 À LOUER AU POINT E, 1000000  ,Point,https://www.dakarvente.com/media/annonces/pics/677bb2a5c4969e3afeef3bb81f690b4f.jpeg
16,Appartement neuf f3 belle vue sur mer à louer à ngor non loin de la madrague , 500000  ,Ngor,https://www.dakarvente.com/media/annonces/pics/bfd4309b41303622c06e45446b3a0ceb.jpg
17,Studio séparé à louer , 200000  ,Ouest,https://www.dakarvente.com/media/annonces/pics/905d939782a1fff32c968069b6f74675.jpeg
18,Studio séparé à louer , 200000  ,Ouest,https://www.dakarvente.com/media/annonces/pics/66392352d17de683fcddd54309e2367f.jpeg
19,APPARTEMENT MEUBLÉ F3 À LOUER NGOR ALMADIES, 50000  ,Almadies,https://www.dakarvente.com/media/annonces/pics/2dd749ce8e72c983340fcdd849336369.jpeg
20,Bureaux à louer VDN, 3000000  ,VDN,https://www.dakarvente.com/media/annonces/pics/2cc5b4630dbfc2b2fd642c00dc9e51cc.jpeg
21,APPARTEMENT F3 À LOUER NGOR ALMADIES, 480000  ,Almadies,https://www.dakarvente.com/media/annonces/pics/5423b4a8482f2a08802b97eb81707764.jpeg
22,Appartement f3 à louer , 250000  ,Ouest,https://www.dakarvente.com/media/annonces/pics/c591d464ce280eb689394a44613d2ab0.jpeg
