web-scraper-order,web-scraper-start-url,articles_links,articles_links-href,V_1,V_2,V_3,V_4-src
"1732824288-1","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=38","Appartement à louer à mermoz","https://www.dakarvente.com/annonce-119-appartement-louer-mermoz.html","Appartement à louer à mermoz","2.700.000  FCFA","Plateau","media/annonces/pics/5963a9d0467c55a6ab1d3e4d1a934731.jpg"
"1732824292-2","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=38","Chambre à louer à fass","https://www.dakarvente.com/annonce-82-chambre-louer-fass.html","","","",""
"1732824296-3","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=38","Appartement à la place de l'indépendance","https://www.dakarvente.com/annonce-64-appartement-la-place-de-l-indpendance.html","","","",""
"1732824299-4","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=38","Appartement à liberté 6 au 2ème étage","https://www.dakarvente.com/annonce-63-appartement-libert-6-au-2me-tage.html","","","",""
"1732824302-5","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=38","Hann maristes - appartement, studio","https://www.dakarvente.com/annonce-61-hann-maristes-appartement-studio.html","","","",""
"1732824304-6","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=38","Appartement à louer aux mamelles","https://www.dakarvente.com/annonce-60-appartement-louer-aux-mamelles.html","","","",""
"1732824310-7","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=38","Hann maristes - appartement","https://www.dakarvente.com/annonce-59-hann-maristes-appartement.html","Hann maristes - appartement","200.000  FCFA","Plateau","media/annonces/pics/72930d2a68589c8c9c37c80c45de3584.jpg"
"1732824320-8","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=38","Bel appartement à louer à petit mbao","https://www.dakarvente.com/annonce-36-bel-appartement-louer-petit-mbao.html","Bel appartement à louer à petit mbao","125.000  FCFA","Plateau","media/annonces/pics/e3eba5570dc4db0437079dfa02882c2f.jpg"
"1732824325-9","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=38","Mamelles - appartement","https://www.dakarvente.com/annonce-22-mamelles-appartement.html","Mamelles - appartement","275.000  FCFA","Plateau","media/annonces/pics/34fc5f5c2564b68a251d3429f10a1ef5.jpg"
"1732824336-10","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=38","Virage - appartement","https://www.dakarvente.com/annonce-6-virage-appartement.html","Virage - appartement","1.000.000  FCFA","Plateau","media/annonces/pics/2d30b065e26bc6631e647bd3b1d637ec.jpg"
"1732824339-11","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=38","Villa r+1 à mermoz","https://www.dakarvente.com/annonce-5-villa-r-1-mermoz.html","Villa r+1 à mermoz","1.300.000  FCFA","Plateau","media/annonces/pics/55c63adf7eefb610725597dce2c8f794.jpg"
"1732824343-12","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=38","Duplex à louer","https://www.dakarvente.com/annonce-208-duplex-louer.html","Duplex à louer","1.200.000  FCFA","Plateau","media/annonces/pics/1e6250e55aace91d807a0016d1c460ba.jpg"
"1732824347-13","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=38","A louer 4 appartements neufs de type f3 à liberté 6","https://www.dakarvente.com/annonce-205-a-louer-4-appartements-neufs-de-type-f3-libert-6.html","A louer 4 appartements neufs de type f3 à liberté 6","225.000  FCFA","Plateau","media/annonces/pics/82348f5def22e66d177f21b1a1817c78.jpg"
"1732824353-14","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=38","Appartement à louer","https://www.dakarvente.com/annonce-206-appartement-louer.html","Appartement à louer","800.000  FCFA","Plateau","media/annonces/pics/15cbf11e2e57ae9fd49305d62c2a631b.jpg"
"1732824357-15","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=38","Appartement à louer","https://www.dakarvente.com/annonce-207-appartement-louer.html","Appartement à louer","1.700.000  FCFA","Plateau","media/annonces/pics/16d2d8db3b7399ba4dab100eaeee3a16.jpg"
"1732824362-16","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=38","Appartement spacieux f4 à mermoz","https://www.dakarvente.com/annonce-203-appartement-spacieux-f4-mermoz.html","Appartement spacieux f4 à mermoz","1.000.000  FCFA","Plateau","media/annonces/pics/234f74bdfec4679803417ffbfef7c162.jpg"
"1732824365-17","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=38","A louer 4 appartements neufs de type f3 à liberté 6","https://www.dakarvente.com/annonce-204-a-louer-4-appartements-neufs-de-type-f3-libert-6.html","","","",""
"1732824370-18","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=38","Appartement f3 à louer","https://www.dakarvente.com/annonce-62-appartement-f3-louer.html","Appartement f3 à louer","250.000  FCFA","Plateau","media/annonces/pics/e093113ed9e43f9bac5e7ce12d06758d.jpg"
"1732824375-19","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=38","Appartement à  Yoff","https://www.dakarvente.com/annonce-619-appartement-yoff.html","Appartement à  Yoff","170.000  FCFA","Plateau","img/nophoto.png"
"1732824388-20","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=37","Location de bureaux","https://www.dakarvente.com/annonce-618-location-de-bureaux.html","Location de bureaux","75.000  FCFA","Plateau","img/nophoto.png"
