web-scraper-order,web-scraper-start-url,articles_links,articles_links-href,V_1,V_2,V_3,V_4-src
"1732793974-1","https://dakarvente.com/index.php?page=annonces_categorie&id=61&sort=&nb=6","","https://www.dakarvente.com/annonce-1069-virage-appartement-a-vendre.html","Virage Appartement A Vendre","115.000.000  FCFA","Plateau","media/annonces/pics/b00bf2d450bded4f16fadad64cf2dacf.jpg"
"1732793979-2","https://dakarvente.com/index.php?page=annonces_categorie&id=61&sort=&nb=6","","https://www.dakarvente.com/annonce-2054-immeuble-r-2-la-cit-millionnaire.html","Immeuble r+ 2 à la cité millionnaire","95.000.000  FCFA","Plateau","media/annonces/pics/a2d4110dc20a892aa2aabc30ca7faeb8.jpg"
"1732793984-3","https://dakarvente.com/index.php?page=annonces_categorie&id=61&sort=&nb=6","","https://www.dakarvente.com/annonce-2116-villa-djilor-fimela.html","Villa djilor fimela","150.000.000  FCFA","Plateau","media/annonces/pics/9979709f53327f6b9b092f085cb7f32d.jpg"
"1732793989-4","https://dakarvente.com/index.php?page=annonces_categorie&id=61&sort=&nb=6","","https://www.dakarvente.com/annonce-4342-a-vendre-des-appartements-sacr-coeur-keur-gorgui.html","A vendre des appartements à Sacré Cœur Keur Gorgui","155.000.000  FCFA","Cité Keur Gorgui","media/annonces/pics/29d04aabf097486ede10527582a385b9.jpg"
"1732793993-5","https://dakarvente.com/index.php?page=annonces_categorie&id=61&sort=&nb=6","","https://www.dakarvente.com/annonce-4632-appartements-grand-standing-vendre.html","Appartements grand standing à vendre","63.000.000  FCFA","Nord Foire","media/annonces/pics/30bcb65a3e98a88b2ff58b2ecd4b0b11.jpg"
"1732793996-6","https://dakarvente.com/index.php?page=annonces_categorie&id=61&sort=&nb=6","","https://www.dakarvente.com/annonce-5090-vente-d-appartement-de-type-f4.html","vente d'appartement de type F4","146.000.000  FCFA","Almadies",""
"1732794000-7","https://dakarvente.com/index.php?page=annonces_categorie&id=61&sort=&nb=6","","https://www.dakarvente.com/annonce-5091-vente-d-appartement-de-type-f5.html","vente d'appartement de type F5","156.000.000  FCFA","Ngor","media/annonces/pics/8e7479b04299fed958eff7897403d767.jpg"
"1732794005-8","https://dakarvente.com/index.php?page=annonces_categorie&id=61&sort=&nb=6","","https://www.dakarvente.com/annonce-5103-vente-d-appartement-haut-standing-ultra-luxueuse.html","vente d'appartement haut standing ultra luxueuse","156.000.000  FCFA","Almadies","media/annonces/pics/11dff5857446f27e5c0588594bcf6233.jpg"
"1732794009-9","https://dakarvente.com/index.php?page=annonces_categorie&id=61&sort=&nb=6","","https://www.dakarvente.com/annonce-5105-vente-appartement-grand-standing.html","Vente Appartement Grand Standing","146.000.000  FCFA","Almadies","media/annonces/pics/533e9402c3c773c86fdf14202423bc47.jpg"
"1732794013-10","https://dakarvente.com/index.php?page=annonces_categorie&id=61&sort=&nb=6","","https://www.dakarvente.com/annonce-5148-appartement-haut-standing-f5-le-luxe-ultime.html","APPARTEMENT HAUT STANDING F5: LE LUXE ULTIME","168.000.000  FCFA","Almadies","media/annonces/pics/addfec4edff7e1360415c83295257e4d.jpg"
"1732794017-11","https://dakarvente.com/index.php?page=annonces_categorie&id=61&sort=&nb=6","","https://www.dakarvente.com/annonce-5904-joli-appartement-tres-spacieux-a-vendre-a-la-cite-keur-gorgui.html","JOLI APPARTEMENT TRES SPACIEUX A VENDRE A LA CITE KEUR GORGUI","157.500.000  FCFA","Cité Keur Gorgui","media/annonces/pics/d8a141994153f7a57b31abe2f5076da7.jpeg"
"1732794021-12","https://dakarvente.com/index.php?page=annonces_categorie&id=61&sort=&nb=6","","https://www.dakarvente.com/annonce-5906-appartement-luxueux-tres-bien-meuble-a-vendre-a-la-cite-keur-gorgui.html","APPARTEMENT LUXUEUX TRES BIEN MEUBLE A VENDRE A LA CITE KEUR GORGUI","75.000.000  FCFA","Cité Keur Gorgui","media/annonces/pics/c233a16cecd88e245baec63c79b113dc.jpeg"
"1732794024-13","https://dakarvente.com/index.php?page=annonces_categorie&id=61&sort=&nb=6","","https://www.dakarvente.com/annonce-6086-htel-en-vente-sur-somone.html","Hôtel en vente sur Somone","200.000.000  FCFA","Somone","media/annonces/pics/ce485680ab46fd15ba8ea4afabb20127.jpg"
"1732794028-14","https://dakarvente.com/index.php?page=annonces_categorie&id=61&sort=&nb=6","","https://www.dakarvente.com/annonce-6378-a-vendre-des-appartements-neufs-yoff-onomo.html","A Vendre des appartements neufs à Yoff ONOMO","85.000.000  FCFA","Yoff","media/annonces/pics/378bf8093b18bbf7d0ba67b48aa2b63c.jpg"
"1732794032-15","https://dakarvente.com/index.php?page=annonces_categorie&id=61&sort=&nb=6","","https://www.dakarvente.com/annonce-6515-appartement-f4-avec-ascenseur-vendre-nord-foire.html","Appartement F4 avec ascenseur à vendre Nord foire","65.000.000  FCFA","Nord Foire","media/annonces/pics/06d29a38c6c7817184ede2dc69a8fd16.jpg"
"1732794036-16","https://dakarvente.com/index.php?page=annonces_categorie&id=61&sort=&nb=6","","https://www.dakarvente.com/annonce-7072-vente-d-appartement-diamniadio.html","vente d'appartement à Diamniadio","29.000.000  FCFA","Diamniadio","media/annonces/pics/b3e34329b274256bea66250de3a0a5c8.jpg"
"1732794040-17","https://dakarvente.com/index.php?page=annonces_categorie&id=61&sort=&nb=6","","https://www.dakarvente.com/annonce-7073-vente-d-appartement-diamniadio.html","vente d'appartement à Diamniadio","","Diamniadio","media/annonces/pics/cbba328f7832daa5c2e1c5f8a230d18e.jpg"
"1732794044-18","https://dakarvente.com/index.php?page=annonces_categorie&id=61&sort=&nb=6","","https://www.dakarvente.com/annonce-7249-immeubles-vendre-yoff-apecsy.html","Immeubles à vendre à Yoff Apecsy","280.000.000  FCFA","Yoff","media/annonces/pics/b729f496cca38b148610661a4fbfd5c7.png"
"1732794048-19","https://dakarvente.com/index.php?page=annonces_categorie&id=61&sort=&nb=6","","https://www.dakarvente.com/annonce-7323-appartement-haut-satnding-a-hann-marinas-voile-d-or.html","APPARTEMENT HAUT SATNDING A  HANN MARINAS VOILE D'OR","141.000.000  FCFA","Hann Bel-Air","media/annonces/pics/cd4b41661df8343a7882106979a8c57b.jpg"
"1732794053-20","https://dakarvente.com/index.php?page=annonces_categorie&id=61&sort=&nb=6","","https://www.dakarvente.com/annonce-7533-bels-appartement-a-la-voile-d-or.html","Bel appartement à la voile d’or","90.000.000  FCFA","Hann Bel-Air","media/annonces/pics/10a2cc93c097e71464e3d9e3681d5725.jpg"
"1732794056-21","https://dakarvente.com/index.php?page=annonces_categorie&id=61&sort=&nb=6","","https://www.dakarvente.com/annonce-7574-fabuleux-appartement-a-hann-marinas-voile-d-or.html","FABULEUX APPARTEMENT A  HANN MARINAS VOILE D'OR","175.000.000  FCFA","Hann Bel-Air","media/annonces/pics/e33f8ddc51fdf18d4ef7d38629851019.jpg"
"1732794060-22","https://dakarvente.com/index.php?page=annonces_categorie&id=61&sort=&nb=6","","https://www.dakarvente.com/annonce-7652-immeubles-vendre-yoff-apecsy-prs-du-centre-ar-de-la-bcao.html","Immeubles à vendre â Yoff  Apecsy près du centre aéré de la BCAO","","Yoff","media/annonces/pics/5f1c6d2ce7ba647bd1530c94c35b0abd.jpg"
"1732794064-23","https://dakarvente.com/index.php?page=annonces_categorie&id=61&sort=&nb=6","","https://www.dakarvente.com/annonce-7822-vente-d-un-immeuble.html","VENTE D'UN IMMEUBLE","350.000.000  FCFA","Maristes","media/annonces/pics/9021cafba490bf8fe68a8bc63c535cdf.jpg"
"1732794083-24","https://dakarvente.com/index.php?page=annonces_categorie&id=61&sort=&nb=5","","https://www.dakarvente.com/annonce-10481-appartement-vendre-au-point-e.html","Appartement à vendre au point E","550.000.000  FCFA","Point E","media/annonces/pics/646d959afffc95dbe1ee33b21cdfae24.jpg"
"1732794089-25","https://dakarvente.com/index.php?page=annonces_categorie&id=61&sort=&nb=5","","https://www.dakarvente.com/annonce-10484-appartement-vendre-louer-au-point-e.html","Appartement à vendre à louer au Point E","140.000.000  FCFA","Point E","media/annonces/pics/392b03c67825908c11227101cb9e9637.jpg"
"1732794095-26","https://dakarvente.com/index.php?page=annonces_categorie&id=61&sort=&nb=5","","https://www.dakarvente.com/annonce-10485-appartement-vendre-au-point-e.html","Appartement à vendre au point E","135.000.000  FCFA","Point E","media/annonces/pics/2d2e1341580a3cd93fbbdef472ebf610.jpg"
