web-scraper-order,web-scraper-start-url,articles_links,articles_links-href,V_1,V_2,V_3,V_4,V_4-href
"1732590270-1","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=55","Keur massar - terrain","https://www.dakarvente.com/annonce-38-keur-massar-terrain.html","Keur massar - terrain","3.500.000  FCFA","Plateau","terrains à vendre","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html"
"1732590275-2","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=55","Terrains viabilisés à vendre!","https://www.dakarvente.com/annonce-370-terrains-viabiliss-vendre.html","Terrains viabilisés à vendre!","6.500.000  FCFA","Plateau","terrains à vendre","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html"
"1732590279-3","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=55","Terrain","https://www.dakarvente.com/annonce-615-terrain.html","Terrain","120.000.000  FCFA","Thiès","terrains à vendre","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html"
"1732590283-4","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=55","TERRAINS A VENDRE","https://www.dakarvente.com/annonce-671-terrains-a-vendre.html","TERRAINS A VENDRE","8.500.000  FCFA","Guédiawaye","terrains à vendre","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html"
"1732590298-5","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=55","TERRAINS A VENDRE A GUEDE TOUBA","https://www.dakarvente.com/annonce-672-terrains-a-vendre-a-guede-touba.html","TERRAINS A VENDRE A GUEDE TOUBA","4.500.000  FCFA","Diourbel","terrains à vendre","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html"
"1732590302-6","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=55","Terrain à kayar","https://www.dakarvente.com/annonce-40-terrain-kayar.html","Terrain à kayar","2.500.000  FCFA","Plateau","terrains à vendre","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html"
"1732590307-7","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=55","Lot de terrains de 225 m² à diass","https://www.dakarvente.com/annonce-39-lot-de-terrains-de-225-m-diass.html","Lot de terrains de 225 m² à diass","3.000.000  FCFA","Plateau","terrains à vendre","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html"
"1732590311-8","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=55","TERRAIN A VENDRE A MALIBU GOLF","https://www.dakarvente.com/annonce-699-terrain-a-vendre-a-malibu-golf.html","TERRAIN A VENDRE A MALIBU GOLF","18.000.000  FCFA","Guédiawaye","terrains à vendre","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html"
"1732590316-9","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=55","Terrain urgent a vendre","https://www.dakarvente.com/annonce-724-terrain-vague.html","Terrain urgent a vendre","2.000.000  FCFA","Plateau","terrains à vendre","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html"
"1732590322-10","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=55","TERRAIN  A VENDRE CITTE DALAL DIAM","https://www.dakarvente.com/annonce-674-terrain-a-vendre-citte-dalal-diam.html","TERRAIN  A VENDRE CITTE DALAL DIAM","28.000.000  FCFA","Guédiawaye","terrains à vendre","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html"
"1732590327-11","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=55","Terrain à vendre Zone B","https://www.dakarvente.com/annonce-814-terrain-vendre-zone-b.html","Terrain à vendre Zone B","230.000.000  FCFA","Plateau","terrains à vendre","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html"
"1732590332-12","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=55","Vente terrain","https://www.dakarvente.com/annonce-839-vente-terrain.html","Vente terrain","18.000.000  FCFA","Thiès","terrains à vendre","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html"
"1732590337-13","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=55","Terrains de 150 m2 Almadies 2 (Zac mbao à coté d péage)","https://www.dakarvente.com/annonce-849-terrains-de-150-m2-almadies-2-zac-mbao-cot-d-page.html","Terrains de 150 m2 Almadies 2 (Zac mbao à coté d péage)","1.000.000  FCFA","Rufisque","terrains à vendre","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html"
"1732590342-14","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=55","Terrain à vendre à partir de 1 ha, vue sur la lagune.","https://www.dakarvente.com/annonce-940-terrain-vendre-partir-de-1-ha-vue-sur-la-lagune.html","Terrain à vendre à partir de 1 ha, vue sur la lagune.","12.000  FCFA","Mbour","terrains à vendre","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html"
