,V_1,V_2,V_3
0,Keur massar - terrain,3.500.000  ,Plateau
1,Terrains viabilisés à vendre!,6.500.000  ,Plateau
2,Terrain,120.000.000  ,Thiès
3,TERRAINS A VENDRE,8.500.000  ,Guédiawaye
4,TERRAINS A VENDRE A GUEDE TOUBA,4.500.000  ,Diourbel
5,Terrain à kayar,2.500.000  ,Plateau
6,Lot de terrains de 225 m² à diass,3.000.000  ,Plateau
7,TERRAIN A VENDRE A MALIBU GOLF,18.000.000  ,Guédiawaye
8,Terrain urgent a vendre,2.000.000  ,Plateau
9,TERRAIN  A VENDRE CITTE DALAL DIAM,28.000.000  ,Guédiawaye
10,Terrain à vendre Zone B,230.000.000  ,Plateau
11,Vente terrain,18.000.000  ,Thiès
12,Terrains de 150 m2 Almadies 2 (Zac mbao à coté d péage),1.000.000  ,Rufisque
13,Vends terrain 150m2 à Bambilor,2.500.000  ,Plateau
14,DES TERRAINS A VENDRE,10.000  ,Plateau
15,Diass Aeroport ( Thicky ) Terrains A Vendre,1.500.000  ,Plateau
16,Diamniadio Lot de Terrains A Vendre,4.000.000  ,Plateau
17,Diass Aeroport ( Landou ) Terrains A Vendre,3.500.000  ,Plateau
18,Rufisque Terrain 190m² A Vendre,9.000.000  ,Plateau
19,Promotion Magal Touba 2018 Terrains A Vendre,1.700.000  ,Plateau
20,Ndayane Terrain 400m² Vue Mer A Vendre,12.000.000  ,Mbour
21,Promotion Terrain Diass Aéroport,1.500.000  ,Plateau
22,Almadie Lot de Terrains A Vendre,60.000.000  ,Plateau
23,Yeumbeule Terrains A Vendre,9.500.000  ,Plateau
24,Promotion Terrains Magal Touba 2018,1.700.000  ,Plateau
25,Urgence Terrains 100 parcelles à Tivaoune Peulh coté VDN,2.700.000  ,Plateau
26,Terrains TF à Bambilor,15.000  ,Plateau
27,terrain a vendre,1.500.000  ,Rufisque
28,VENTE DE TERRAIN,200.000.000  ,Mbour
29,TERRAINS A VENDRE A NDIAKHIRATE,1.500.000  ,Rufisque
30,terrain a vendre,25.000.000  ,Plateau
31,Terrains à Tivaoune Peulh près de la plage,3.600.000  ,Plateau
32,Terrains à Diakhaye cité Safco,4.500.000  ,Plateau
33,Vente de terrain à Diamniadio,,Plateau
34,Terrain,4.000.000  ,Plateau
35,"Terrains Bambilor, Kounoune, Sendou, Keur Moussa",2.700.000  ,Plateau
36,Ouakam - terrain,35.000.000  ,Plateau
37,Verger de 1 hectar a vendre à bayakhe,30.000.000  ,Mbour
38,Terrains 225m2 à Yenn vue sur mer et Aéroport AIBD,1.300.000  ,Rufisque
39,TERRAIN 150m2  TITRE FONCIER KOUNOUNE,7.500.000  ,Rufisque
40,Terrains 225m2 à Yenn vue sur mer et Aéroport AIBD,1.300.000  ,Diamniadio
41,A Bazarder VILLA Neuve  à Tivaoune Peulh,1.300.000  ,Khar Yalla
