web-scraper-order,web-scraper-start-url,articles_links,articles_links-href,V_1,V_2,V_3,V_4-src
"1732818560-1","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=56","Keur massar - terrain","https://www.dakarvente.com/annonce-38-keur-massar-terrain.html","Keur massar - terrain","3.500.000  FCFA","Plateau",""
"1732818566-2","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=56","Terrains viabilisés à vendre!","https://www.dakarvente.com/annonce-370-terrains-viabiliss-vendre.html","Terrains viabilisés à vendre!","6.500.000  FCFA","Plateau","media/annonces/pics/21401911dc748222a45e300df2168e55.jpg"
"1732818575-3","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=56","Terrain","https://www.dakarvente.com/annonce-615-terrain.html","Terrain","120.000.000  FCFA","Thiès","media/annonces/pics/359cb07d7bfef1a735b36566cb30f356.jpg"
"1732818579-4","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=56","TERRAINS A VENDRE","https://www.dakarvente.com/annonce-671-terrains-a-vendre.html","TERRAINS A VENDRE","8.500.000  FCFA","Guédiawaye","img/nophoto.png"
"1732818584-5","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=56","TERRAINS A VENDRE A GUEDE TOUBA","https://www.dakarvente.com/annonce-672-terrains-a-vendre-a-guede-touba.html","TERRAINS A VENDRE A GUEDE TOUBA","4.500.000  FCFA","Diourbel","img/nophoto.png"
"1732818601-6","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=55","Terrain à kayar","https://www.dakarvente.com/annonce-40-terrain-kayar.html","Terrain à kayar","2.500.000  FCFA","Plateau",""
"1732818609-7","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=55","Lot de terrains de 225 m² à diass","https://www.dakarvente.com/annonce-39-lot-de-terrains-de-225-m-diass.html","Lot de terrains de 225 m² à diass","3.000.000  FCFA","Plateau","media/annonces/pics/f56e59a283850a36def118ab3e13b8c4.jpg"
"1732818616-8","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=55","TERRAIN A VENDRE A MALIBU GOLF","https://www.dakarvente.com/annonce-699-terrain-a-vendre-a-malibu-golf.html","TERRAIN A VENDRE A MALIBU GOLF","18.000.000  FCFA","Guédiawaye","img/nophoto.png"
"1732818622-9","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=55","Terrain urgent a vendre","https://www.dakarvente.com/annonce-724-terrain-vague.html","Terrain urgent a vendre","2.000.000  FCFA","Plateau","media/annonces/pics/36d6598be05f171bff68de123f6cb442.jpeg"
"1732818628-10","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=55","TERRAIN  A VENDRE CITTE DALAL DIAM","https://www.dakarvente.com/annonce-674-terrain-a-vendre-citte-dalal-diam.html","TERRAIN  A VENDRE CITTE DALAL DIAM","28.000.000  FCFA","Guédiawaye","img/nophoto.png"
"1732818634-11","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=55","Terrain à vendre Zone B","https://www.dakarvente.com/annonce-814-terrain-vendre-zone-b.html","Terrain à vendre Zone B","230.000.000  FCFA","Plateau","media/annonces/pics/16a5baefcc6d02dbcb4f0ebd85c0adfe.jpg"
"1732818645-12","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=55","Vente terrain","https://www.dakarvente.com/annonce-839-vente-terrain.html","Vente terrain","18.000.000  FCFA","Thiès","media/annonces/pics/96d0c65132e226bcc70c3767e2468249.jpg"
